id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
curve-dao-token,CRV,Curve DAO,base,base,,0.5939,807949363.00,1348952955.00,211320290.00,280071.90,-0.09,-7.08,-4.43,-22.09,,,,,0.6588,15.3700,1360231082.00,2271042990.85,0.5727186272,0.7285011334,21.59,0.6533624141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.720Z
pancakeswap-token,CAKE,PancakeSwap,base,base,,2.4200,777942857.00,892032236.00,204665008.00,283415.30,-1.15,-3.55,6.18,-0.88,,,,,2.6200,43.9600,321568892.24,368728648.15,2.3572890296,2.7219686514,23.07,2.5218456786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.726Z
liquid-staked-ethereum,LSETH,Liquid Staked ETH,base,base,,2724.1800,715464163.00,715464163.00,2027439.00,5958124.90,-0.28,-8.42,2.76,-4.28,,,,,2994.3400,4332.6700,262091.32,262091.32,2665.4588637249,3102.3149209329,23.00,2936.2255394777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.742Z
usual-usd,USD0,Usual USD,base,base,,0.9975,617484836.00,617484836.00,12494246.00,,-0.25,0.01,0.02,-0.04,,,,,1.0000,1.3300,619029479.49,619029479.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.782Z
pendle,PENDLE,Pendle,base,base,,3.7100,604591607.00,1047723113.00,168542670.00,230621.00,-0.11,-5.22,-8.61,-11.76,,,,,4.1100,7.5000,162456216.17,281527448.46,3.4074657921,4.4968648573,37.03,3.9747588094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.817Z
solv-protocol-solvbtc-bbn,XSOLVBTC,Solv Protocol Staked BTC,base,base,,104563.0000,595756100.00,595756100.00,666591.00,48192.30,0.49,-2.54,1.37,1.57,,,,,108026.0000,117077.0000,5695.12,5695.12,,,51.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.822Z
super-oeth,SUPEROETH,Super OETH,base,base,,2527.8400,557921436.00,557921436.00,796961.00,479262474.30,-0.04,-8.07,3.02,-3.95,1037.30,1594.40,2.00,0.60,2772.3000,4099.8700,220702.74,220734.61,2466.4254733023,2870.4583784622,23.07,2717.7034757098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.169Z
l2-standard-bridged-weth-base,WETH,L2 Standard Bridged WETH (Base),base,base,,2524.9800,551882843.00,551882843.00,1036067516.00,27010901.90,-0.26,-8.27,2.90,-4.43,329.00,2000.50,-1.40,-2.90,2771.9000,4096.0500,218345.53,210266.37,2465.7600000000,2871.3000000000,22.92,2717.7576000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.167Z
syrup,SYRUP,Maple Finance,base,base,,0.4935,530366081.00,589450922.00,129975683.00,600480.00,1.35,-2.22,28.51,76.66,26.50,-0.20,24.90,61.20,0.5297,0.5323,1073833091.27,,0.4517845393,0.5401096052,39.50,0.4997202418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.175Z
cgeth-hashkey-cloud,CGETH.HASHKEY,cgETH Hashkey Cloud,base,base,,2641.4000,528092311.00,528092311.00,114.59,23867.60,0.00,-8.22,2.37,-2.04,314.20,128.30,0.50,0.70,2877.9500,3129.1900,199929.02,199929.02,2551.9371173315,2978.5613582561,13.95,2738.0307482112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.171Z
aerodrome-finance,AERO,Aerodrome Finance,base,base,,0.6258,524779930.00,1042350959.00,162132523.00,50969324.50,-0.29,14.57,26.56,-15.10,876.50,237.50,25.10,-10.60,0.6852,2.3200,833252185.14,1614317707.27,0.5349054794,0.6901054526,62.82,0.5834174057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.164Z
compound-governance-token,COMP,Compound,base,base,,51.9800,472281627.00,519817234.00,102026608.00,50486.60,-0.55,-7.93,5.14,8.02,-50.80,128.40,17.50,14.00,58.2300,910.5400,9085532.29,10000000.00,49.7370632285,62.9066508721,23.11,56.9359387909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.165Z
chain-2,XCN,Onyxcoin,base,base,,0.0132,447338995.00,638938736.00,30380587.00,266721.40,0.20,-9.82,-9.57,-25.16,-17.20,-12.50,-10.00,-22.10,0.0146,0.1841,33887905422.43,48402437326.52,0.0128464182,0.0155693104,22.06,0.0144611879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.168Z
keeta,KTA,Keeta,base,base,,1.1000,444456473.00,1105354521.00,50144035.00,16526917.10,3.51,-5.14,2.23,172.88,256.70,330.90,3.90,195.50,1.3600,1.6800,402094046.98,1000000000.00,0.9063208834,1.4750895807,48.54,1.2127189660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.183Z
axelar,AXL,Axelar,base,base,,0.4150,408083137.00,500113683.00,53645765.00,4877.80,0.02,-10.77,34.56,-1.42,257.10,315.00,40.00,6.80,0.4808,2.6400,983242730.78,,0.4067588001,0.5287928358,31.47,0.4625723230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.170Z
0x83714956a9c5b45244b8babb545db8f20ca77718-prototype,BRETT,Brett Agent ,base,virtuals,,0.0000,17811.40,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,3,,2.00,,,,,,,,,,,0.00,0.00,0xdb14a0bad9a7fd906906d6775d86230538a7d1ae,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-13T08:39:52.103Z
0x67ba9fb1ee478032efa5425b3226faf4bf75cad7-prototype,LINK,The Chain Sculptor,base,virtuals,,0.0000,11321.80,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,5,,4.00,106949807.90,10.69,7170315.17,0.72,7170315.17,0.72,7170315.17,0.72,7170315.17,0.72,0.00,0.00,0x790155f1e969cc66176448e7086ea5c7c5cb18dc,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-13T08:40:47.843Z
morpho,MORPHO,Morpho,base,base,,1.4100,401238192.00,1418980639.00,18274720.00,2104716.20,0.81,-9.24,11.41,-18.64,60.40,-9.80,8.30,-9.80,1.5700,4.1700,282765092.42,1000000000.00,1.3687575269,1.6559981756,21.46,1.5361887069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.167Z
telcoin,TEL,Telcoin,base,base,,0.0041,379088236.00,412502297.00,2209679.00,120176.90,1.14,-7.97,0.21,-28.86,16.10,-34.90,-2.30,-27.20,0.0045,0.0645,91899666665.01,100000000000.00,0.0040614355,0.0048586065,29.02,0.0045070590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.168Z
reserve-rights-token,RSR,Reserve Rights,base,base,,0.0062,361886710.00,624893593.00,27554541.00,208095.60,0.00,-7.76,-5.76,-37.81,80.00,-29.90,-5.10,-34.50,0.0069,0.1174,57911733088.00,100000000000.00,0.0060309396,0.0075100602,28.52,0.0068203651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.166Z
coinbase-wrapped-staked-eth,CBETH,Coinbase Wrapped Staked ETH,base,base,,2785.2100,350221905.00,1039824993.00,6039811.00,4923139.20,-0.17,-8.18,2.95,-4.37,76.30,-8.90,2.40,-1.00,3056.0100,4434.5700,125742.09,,2718.3786019261,3163.2040303466,22.99,2995.5109913152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.171Z
openeden-open-dollar,USDO,OpenEden OpenDollar,base,base,,1.0010,285939842.00,285939842.00,15090.45,3256.40,0.00,-0.06,0.10,-0.38,67.70,603.50,5.00,35.60,1.0060,2.9700,285723802.78,,0.9983282331,1.0223940751,42.62,1.0081339865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.174Z
compounding-open-dollar,CUSDO,Compounding OpenDollar,base,base,,1.0180,279102370.00,279102370.00,3477648.00,1622302.70,0.00,0.00,0.13,-0.46,-69.80,-21.50,6.60,37.90,1.0190,1.0380,274276796.61,,1.0100043018,1.0345172508,50.25,1.0229245517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.176Z
mantra-dao,OM,MANTRA,base,base,,0.2506,243258648.00,419733956.00,97996587.00,223191.70,-0.49,-12.98,-14.04,-44.14,24.10,-34.60,-16.00,-40.30,0.2884,8.9900,970655379.56,1818138467.28,0.2430156894,0.3085183769,20.03,0.2827056320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.159Z
gho,GHO,GHO,base,base,,0.9987,218779371.00,218779371.00,13361822.00,990.00,-0.03,-0.02,0.06,0.01,-27.40,-31.30,-6.80,-17.20,0.9991,1.0300,219053594.16,,0.9928457519,1.0077763452,50.11,0.9985433895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.172Z
toshi,TOSHI,Toshi,base,virtuals,,0.0005,217013945.00,217013945.00,26380705.00,2832418.50,0.42,-5.69,1.41,-38.06,,,,,0.0006,0.0023,420690000000.00,420690000000.00,0.0004926977,0.0006331924,18.22,0.0005602941,739827,0.71,1.00,424318367788.00,100.86,159974853.74,0.04,81825144522.40,19.45,236974126518.25,56.33,276140000799.28,65.64,943472970.20,665989110.70,0x1122De0928407D6E2323932Ec297365222928480,,,,,False,False,0.00,3,17.05,0.4331628014759623,0.05,,,,,897,9,0.43326827459243217,-9.9,,,,,897,9,2025-06-13T08:42:22.416Z
layerzero,ZRO,LayerZero,base,base,,1.9400,215464551.00,1938452709.00,59764587.00,169172.30,0.76,-10.44,-10.11,-40.77,60.30,-41.30,-10.10,-39.10,2.2000,7.4700,111152854.21,,1.8524207057,2.4061118675,23.34,2.1610942737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.170Z
havven,SNX,Synthetix Network,base,base,,0.6017,206843333.00,207098455.00,20888568.00,97822.40,-0.78,-12.43,-6.70,-35.12,12.60,-53.60,-5.60,-31.60,0.6894,28.5300,343466217.00,339889850.09,0.5980470864,0.7449258848,13.79,0.6845933510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.166Z
mocaverse,MOCA,Moca Network,base,base,,0.0756,202991105.00,675048053.00,27448098.00,505190.90,0.60,-9.68,-11.78,-30.03,-43.10,-60.20,-13.60,-30.60,0.0841,0.4774,2672943606.76,,0.0738686731,0.0922234964,17.75,0.0836442566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.171Z
iotex,IOTX,IoTeX,base,base,,0.0217,202550461.00,202550461.00,19674831.00,206318.30,2.47,3.40,4.18,3.94,75.00,9.50,4.90,6.80,0.0218,0.2556,9441368979.00,,0.0229610878,0.0266988625,22.60,0.0252966720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.173Z
yearn-finance,YFI,yearn.finance,base,base,,5092.0900,172217702.00,186753205.00,23863670.00,2106888.80,0.35,-6.57,0.06,-18.91,7.20,-14.10,-1.50,-17.50,5496.9800,90787.0000,33812.19,,5066.7392731526,5863.9591116713,20.46,5484.3170064215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.172Z
subsquid,SQD,SQD,base,base,,0.2416,171289114.00,323906775.00,92682260.00,653940.20,-0.61,-7.84,16.58,2.13,129.50,1419.30,16.80,10.50,0.2649,0.2848,707035365.85,,0.2201697161,0.3077270196,37.47,0.2504738608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.176Z
stargate-finance,STG,Stargate Finance,base,base,,0.1702,165567997.00,170431301.00,10616026.00,8212.50,0.81,-6.29,-4.70,-24.83,14.90,-35.40,-6.00,-23.50,0.1818,4.1400,971464728.37,,0.1618628079,0.1922012717,41.24,0.1796797407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.173Z
enterbeat,EBT,ENTERBEAT,base,base,,0.1868,158729040.00,186740047.00,377137.00,,0.26,3.83,,,0.00,0.00,0.00,0.00,0.1868,0.2598,850000000.00,1000000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:46:39.318Z
rekt-4,REKT,Rekt,base,virtuals,,0.0000,157828334.00,157828334.00,4154725.00,197896.40,0.55,7.50,43.26,94.30,1305.00,428.00,36.70,91.90,0.0000,0.0000,420690000000000.00,5625609020058.89,0.0000002894,0.0000004032,50.78,0.0000003370,101980,0.25,1.00,274250543729.49,4.88,27662349417.28,0.49,949477531363.27,16.88,1607660648521.38,28.58,1842919294117.49,32.76,88310097531.80,20000000000.00,0x833ffcEb2569E1e1c1237686b99e57570F913A52,,,,,True,True,100.00,1,,4.509092061454847,78.29,,,,,73042,2554,3.3256422559384693,15.58,2609,,79,,73042,2552,2025-06-13T08:36:49.828Z
aixbt,AIXBT,aixbt by Virtuals,base,virtuals,,0.1661,156872556.00,166460174.00,122746049.00,3605523.90,2.75,-7.10,-4.75,-25.01,,,,,0.1913,0.9426,942402931.68,1000000000.00,0.1571660897,0.2041021944,25.96,0.1817949831,388523,0.14,21.00,945882.24,0.09,2035305.44,0.20,379483008.76,37.95,585801831.36,58.58,631467016.85,63.15,31398067.60,20582026.10,0x8dfb37aae4f8fcbd1f90015a9e75b48f50fd9f59,,,,,False,False,6.89,1,0.00,1.733839581216539,-18.04,1309080,-27.17,17167,-12.53,457346,7294,1.8873406905144823,-28.45,3618203,-35.68,43269,-29.47,457346,7287,2025-06-13T08:42:31.219Z
threshold-network-token,T,Threshold Network,base,base,,0.0140,141598112.00,155935953.00,8378332.00,892.10,0.57,-6.42,-2.69,-26.38,65.60,-2.60,-2.10,-24.00,0.0150,0.2269,10129331389.16,11155000000.00,105484.6860788820,110174.9495553710,38.48,108710.8620673847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.173Z
mag7-ssi,MAG7.SSI,MAG7.ssi,base,base,,0.7592,138836291.00,138836291.00,2929191.00,6171706.10,0.61,-5.26,1.10,-10.44,45.50,72.60,-2.30,-13.80,0.8055,1.3500,182866254.77,,0.7421596330,0.8323557438,24.09,0.7983575286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.175Z
crvusd,CRVUSD,crvUSD,base,base,,0.9997,131455488.00,131455488.00,16465092.00,530176.60,-0.01,-0.01,-0.01,-0.01,16.40,-12.00,-16.40,-22.00,1.0000,1.1100,131498570.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.173Z
0x9dd487acaa9330df374b2fb582d607eb147fb54f-prototype,PRIME,OPTIMUS PRIME,base,virtuals,,0.0000,16114.30,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,2,,1.00,176801240.28,17.68,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0x981529764e79758477ff0516859c80cc2a6ab463,0.10,,,,False,False,0.00,,,,,,,,,,,,,,,,,,,2025-06-13T08:25:24.388Z
0x3e2b1f114b885b0e1c0a1716e9efb96a6e089c37-prototype,KAITO,Kaito AI,base,virtuals,,0.0000,15942.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,11,,,263658005.58,26.37,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0xdce1c382cb4957375870f2ef94ece6bdc2bbda8c,,,,,False,False,0.00,,,,,,,,,,,,,,,,,,,2025-06-13T08:40:40.795Z
0xeedb63becd0d7852bc5a8a192f783c9fe01b7848-prototype,FAI,FF AI,base,virtuals,,0.0000,12468.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,1,,,321401017.84,32.14,,,,,,,,,0.00,0.00,0xe9f4f9f80438eee0637683292d3a53fea8a04a5d,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-13T08:37:07.802Z
stp-network,AWE,AWE Network,base,base,,0.0520,130296953.00,130296953.00,6042974.00,556.50,1.45,0.16,-1.53,-29.60,-10.00,-73.70,0.00,-11.10,0.0527,0.2701,1942419283.03,,0.0468498922,0.0558171886,29.46,0.0525030878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.178Z
anzen-usdz,USDZ,Anzen USDz,base,base,,0.9937,122654583.00,122654583.00,92510.00,237028.10,0.14,0.23,-0.10,0.11,28.30,-34.90,-0.40,-0.70,0.9978,1.0520,123343265.64,,0.9842753226,1.0033980153,51.98,0.9934979933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.176Z
world-mobile-token,WMTX,World Mobile Token,base,base,,0.1602,118725030.00,320509393.00,8027631.00,960740.50,0.29,-5.71,-0.39,-19.68,-47.20,-21.00,-0.50,-14.80,0.1699,0.9797,740852107.05,,0.1569598020,0.1814583213,36.61,0.1693937202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.176Z
vicicoin,VCNT,ViciCoin,base,base,,19.9300,113699148.00,199603154.00,269973.00,52506.40,-0.35,0.49,1.11,5.47,-1.30,-24.50,1.30,5.50,20.0200,25.0100,5696260.08,,19.2084224704,20.1190031129,58.99,19.7746380702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.177Z
cookie,COOKIE,Cookie DAO,base,base,,0.1986,108711082.00,198523930.00,54527296.00,1038945.40,1.81,-12.91,-3.24,6.76,89.20,189.40,-5.90,16.30,0.2325,0.7536,547561028.53,,0.1862977108,0.2644870089,38.29,0.2258660023,,,,,,,,,,,,,,,,,,,,,,,,,,4.011955055645672,-37.91,474404,-6.8,17961,1.94,562741,3738,5.491888047988529,-21.42,1217826,-30.02,43027,-2.76,562741,3697,2025-06-13T08:30:18.140Z
venice-token,VVV,Venice Token,base,base,,3.4800,107397828.00,250165244.00,18934414.00,9648096.20,0.04,-7.25,31.61,-15.97,213.90,25.30,28.80,-14.10,3.9600,22.5800,30846708.47,,3.4200858134,3.9871103678,29.78,3.6846877008,,,,,,,,,,,,,,,,,,,,,,,,,,0.1933090508644441,-40.02,31845,-31.86,1196,10.95,51281,1337,0.22815163720541257,337.82,78583,28.55,2274,148.8,51281,1332,2025-06-13T08:45:15.177Z
ribbita-by-virtuals,TIBBIR,Ribbita by Virtuals,base,virtuals,,0.1039,104245950.00,104245950.00,800239.00,2915627.90,-0.21,-3.92,25.15,71.66,,,,,0.1251,0.1251,1000000000.00,1000000000.00,0.0933240294,0.1260037734,43.36,0.1085568372,51823,0.26,85.00,,,,,162295956.65,16.23,354268840.27,35.43,462193131.99,46.22,7972195.30,9999633.70,0x80a8f11201bc1962d0dfff0a5b9c49b14bb2b7c2,7775829.80,0.80,,,True,False,0.00,1,0.78,0.742140382775689,-35.3,1542,-95.15,55,-90.61,8883,136,0.9795131872983084,19.17,41347,165.57,873,219.78,8883,130,2025-06-13T08:42:37.374Z
moonwell-artemis,WELL,Moonwell,base,base,,0.0301,100806281.00,150462524.00,6122083.00,12165108.00,0.09,-7.04,-7.38,-17.84,-30.20,34.50,-7.50,-16.50,0.0332,0.2988,3349880034.00,,0.0289229199,0.0356118385,33.92,0.0325022964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.178Z
constellation-labs,DAG,Constellation,base,base,,0.0349,100146523.00,124530877.00,4106995.00,145658.10,-0.27,-1.50,-2.50,-30.38,37.80,5.20,-13.00,-42.40,0.0371,0.4518,2854875576.78,,0.0339245171,0.0427143465,41.63,0.0370833361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.174Z
paal-ai,PAAL,PAAL AI,base,base,,0.1101,99036938.00,110348598.00,12837503.00,67974.50,1.18,-12.25,1.95,-34.04,-53.50,-17.00,-2.10,-31.30,0.1277,0.8598,897491580.72,,0.1071304399,0.1494435728,16.19,0.1278300498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:15.175Z
